Acct,Description,Category
520104,Claims Payment Services,Other Services and Charges
520105,Accounting & Auditing Services,Other Services and Charges
520106,Architectural Services,Other Services and Charges
520107,Computer Info/Contr,Other Services and Charges
520108,Information Resource Services,Other Services and Charges
520109,Medical Dental & Laboratory Services,Other Services and Charges
520110,Management Consulting Services,Other Services and Charges
520111,Real Estate Services,Other Services and Charges
520112,Banking Services,Other Services and Charges
520113,Photographic Services,Other Services and Charges
520114,Miscellaneous Support Services,Other Services and Charges
520115,Real Estate Lease/Office Rental,Other Services and Charges
520116,Parking Services Contract,Other Services and Charges
520118,Refuse Disposal  ,Other Services and Charges
520119,Computer Equipment/Software Maintenance,Other Services and Charges
520120,Communications Equipment Services ,Other Services and Charges
520121,IT Application Svcs,Other Services and Charges
520122,Office Equipment Services,Other Services and Charges
520123,Vehicle & Motor Equipment Services,Other Services and Charges
520124,Other Equipment Services,Other Services and Charges
520125,Demolition Services,Other Services and Charges
520126,Construction Site Work Services,Other Services and Charges
520127,Structural Construction Work Services,Other Services and Charges
520128,Other Construction Work Services,Other Services and Charges
520129,Sewer Authority Contracts,Other Services and Charges
520130,Water Authority Contracts,Other Services and Charges
520131,Water Authority Contracts Debt Service,Other Services and Charges
520132,Contracts/Sponsorships,Other Services and Charges
520133,Private Investigative Services ,Other Services and Charges
520134,Houston Area Water Council Debt Service,Other Services and Charges
520135,Claims Adjustment Services,Other Services and Charges
520136,Billing & Collection Services,Other Services and Charges
520137,C&E Parking Contract Svcs,Other Services and Charges
520138,Zoo Contract,Other Services and Charges
520139,Motor Pool Charges,Other Services and Charges
520140,Civic Arts,Other Services and Charges
520141,Engineering Services,Other Services and Charges
520142,Classified C.S. Arbitration Cost ,Other Services and Charges
520143,Credit/Bank Card Services,Other Services and Charges
520144,Limited Purpose Annexation Payment,Other Services and Charges
520145,Criminal Intelligence Services,Other Services and Charges
520146,Contract Instructor Sports,Other Services and Charges
520147,Management Initiative Savings,Other Services and Charges
520148,Project Completion Bonus,Other Services and Charges
520150,GT EZ Tag Fees,Other Services and Charges
520151,Parking EZ Tag Fees,Other Services and Charges
520152,Telemetry Services,Other Services and Charges
520153,Protective Gear Cleaning Services,Other Services and Charges
520154,CIP Capitalized Interest,Other Services and Charges
520155,Construction Management - External Contr,Other Services and Charges
520156,City Hall Fellows,Other Services and Charges
520157,Computer Software Maintenance Services,Other Services and Charges
520158,Computer Equipment Maintenance Services,Other Services and Charges
520159,Non-Sub-Recipient Grant Contract,Other Services and Charges
520160,CIP-Software,Other Services and Charges
520161,Telehealth Nurse Program,Other Services and Charges
520162,Baylor College of Medicine Psy Svcs,Other Services and Charges
520170,Generator Equipment Services,Other Services and Charges
520200,HCTRA Parking Fees,Other Services and Charges
520205,HCTRA Ground Transportation Fees,Other Services and Charges
520250,CIP Expense,Other Services and Charges
520510,Mail/Delivery Services,Other Services and Charges
520515,Print Shop Services,Other Services and Charges
520520,Printing & Reproduction Services,Other Services and Charges
520605,Advertising Services,Other Services and Charges
520705,Insurance Fees,Other Services and Charges
520710,State/Federal Inspection Fees,Other Services and Charges
520715,Arbitrage Expenses,Other Services and Charges
520720,Fines,Other Services and Charges
520725,Assessments - Other Governments,Other Services and Charges
520730,Tax Appraisal Fees,Other Services and Charges
520735,Tax Refunds,Other Services and Charges
520736,Ch380 - Mixed Beverage Tax Refund,Other Services and Charges
520737,Ch380 - Sales Tax Refund,Other Services and Charges
520738,Ch380 - Mixed Beverage Tax Refund,Other Services and Charges
520740,Document Recording/Filing Fees,Other Services and Charges
520745,Third Party Collection Fees,Other Services and Charges
520750,Elections,Other Services and Charges
520755,Contingency,Other Services and Charges
520760,Contributions  ,Other Services and Charges
520763,Intergovernmental Contribution - 1115 Waiver,Other Services and Charges
520765,Membership & Professional Fees,Other Services and Charges
520770,Insurance Administration Fees,Other Services and Charges
520771,Cigna - Active Ins Administration Fees,Other Services and Charges
520772,Cigna - Reti <65  Ins Administration Fees,Other Services and Charges
520773,Cigna - Reti >65 No Med Ins Admin Fees,Other Services and Charges
520774,Cigna - Reti >65 with Med Ins Admin Fees,Other Services and Charges
520780,Juror Compensation,Other Services and Charges
520805,Education & Training,Other Services and Charges
520806,Paramedic/EMT Continuing Edu,Other Services and Charges
520807,Initial/Recert EMS Training,Other Services and Charges
520810,Human Relations Training,Other Services and Charges
520815,Tuition Reimbursement,Other Services and Charges
520820,Internship Program,Other Services and Charges
520900,CIP-Capital Equipment Acquisition,Other Services and Charges
520905,Travel - Training Related,Other Services and Charges
520910,Travel - Non-Training Related,Other Services and Charges
521205,Short Term Compensated Absence Expense,Other Services and Charges
521210,Long Term Compensated Absence Expense,Other Services and Charges
521305,Indirect Cost Recovery Payment,Other Services and Charges
521306,PWE Allocated Cost,Other Services and Charges
521310,Small Diff. -GR/IR,Other Services and Charges
521315,Reimbursement for Energy Leakage Testing,Other Services and Charges
521316,Water Conservation Rebate,Other Services and Charges
521405,Building Maintenance Services,Other Services and Charges
521410,Sewer Services,Other Services and Charges
521415,Land and Grounds Maintenance,Other Services and Charges
521420,Infrastructure Maintenance Service,Other Services and Charges
521425,Coastal Water Authority Maintenance,Other Services and Charges
521430,Katrina Support Services,Other Services and Charges
521435,Water Services,Other Services and Charges
521440,Steam/Chilled Water Services,Other Services and Charges
521445,Houston Area Water Council Maintenance,Other Services and Charges
521505,Electricity,Other Services and Charges
521510,Natural Gas,Other Services and Charges
521515,Electricity Fran Fee Exp,Other Services and Charges
521605,Data Services,Other Services and Charges
521610,Voice Services,Other Services and Charges
521615,Radio Communications,Other Services and Charges
521620,Voice Equipment,Other Services and Charges
521625,Voice Labor,Other Services and Charges
521630,GIS Revolving Fund Services,Other Services and Charges
521635,Voice Services -Wireless,Other Services and Charges
521705,Vehicle/Equipment Rental/Lease,Other Services and Charges
521715,Office Equipment Rental,Other Services and Charges
521720,Computer Equipment Rental,Other Services and Charges
521725,Other Rental,Other Services and Charges
521730,Parking Space Rental,Other Services and Charges
521731,Hobby Parking Space Rental,Other Services and Charges
521905,Legal Services,Other Services and Charges
521910,Legal Svcs - Crt Report,Other Services and Charges
521915,Legal Svcs - Atty Fee,Other Services and Charges
521920,Legal Svcs -Med Svcs,Other Services and Charges
521925,Legal Svcs -Ex Wit,Other Services and Charges
521930,Contingency/Reserve,Debt Service and Other Uses
521935,Legal Svcs -Claims,Other Services and Charges
521940,Legal Svcs -Judgemt,Other Services and Charges
521945,Legal Svcs -Settleme,Other Services and Charges
521950,Legal Svcs -Doc Rec,Other Services and Charges
522205,Metro Commuter Passes,Other Services and Charges
522305,Freight Charges,Other Services and Charges
522405,Management Savings,Other Services and Charges
522410,Cashier Shortages,Other Services and Charges
522415,Banking Over/Short,Other Services and Charges
522420,Petty Cash/Change Special Fund,Other Services and Charges
522425,Miscellaneous Pool Expense/Expenditures,Other Services and Charges
522427,Forensics Services SAFE Kits,Other Services and Charges
522430,Miscellaneous Other Services & Charges,Other Services and Charges
522431,EMS Equipment Maint,Other Services and Charges
522432,Life Safety Equipment Maintenance,Other Services and Charges
522435,Interest Charges Past Due Accounts,Other Services and Charges
522440,Discount Lost,Other Services and Charges
522445,Wellness Initiative,Other Services and Charges
522505,Employee Premiums,Other Services and Charges
522510,Retiree Premiums,Other Services and Charges
522515,Medicare Health Plan Alternative,Other Services and Charges
522520,Stop loss Premiums,Other Services and Charges
522525,Cigna - Active Individual Stop Loss Fees,Other Services and Charges
522526,Cigna - Retiree <65 Indv Stop Loss Fees,Other Services and Charges
522527,Cigna - Retiree >65 No Med Indv Stop Loss Fees,Other Services and Charges
522528,Cigna - Retiree >65 with Med Indv Stop Loss Fees,Other Services and Charges
522530,Cigna - Active Aggregate Stop Loss Fees,Other Services and Charges
522531,Cigna - Retiree<65 Aggregate Stop Loss Fees,Other Services and Charges
522532,Cigna - Retiree>65 No Med Aggr Stop Loss Fees,Other Services and Charges
522533,Cigna - Retiree>65 with Med Aggr Stop Loss Fees,Other Services and Charges
522535,Cigna - Retiree>65 with Medi Hlth Care Acct,Other Services and Charges
522536,Cigna - Retiree<65 Health Care Acct,Other Services and Charges
522537,Cigna - Active Health Care Account,Other Services and Charges
522538,Cigna - Retiree>65 No Medi Hlth Care Acct,Other Services and Charges
522605,Active Employee Incurred Claims,Other Services and Charges
522610,Retiree Insurred Claims,Other Services and Charges
522615,"Retiree ""A"" Medical Claims",Other Services and Charges
522620,Claims & Judgments,Other Services and Charges
522625,Cigna - Active Medical Claims Expense,Other Services and Charges
522630,Cigna - Retiree<65 Medical Claims Expense,Other Services and Charges
522635,Cigna - Retiree>65 No Med Medical Claims Expense,Other Services and Charges
522640,Cigna - Retiree>65 with Med Medical Claims,Other Services and Charges
522705,Interfund Environmental Inspection,Other Services and Charges
522710,Interfund Utility Cut Repairs,Other Services and Charges
522715,Interfund Electrical Maintenance  ,Other Services and Charges
522720,Interfund Payroll Services,Other Services and Charges
522721,Interfund HR Client Services,Other Services and Charges
522722,KRONOS Service Chargeback,Other Services and Charges
522723,Drainage Fee Service Chargeback,Other Services and Charges
522725,Intfd Traf Signal Instal,Other Services and Charges
522730,Interfund Engineering Services,Other Services and Charges
522735,Interfund Communication Equipment Repair,Other Services and Charges
522740,Interfund Police Service,Other Services and Charges
522745,Interfund Computer System Development,Other Services and Charges
522750,Interfund Land/Property Appraisal Service,Other Services and Charges
522755,Interfund Fire Protection Service,Other Services and Charges
522760,Interfund Billing & Collection Service,Other Services and Charges
522765,Interfund Legal Services,Other Services and Charges
522770,Interfund Relocation Services,Other Services and Charges
522775,Interfund Utility Services,Other Services and Charges
522780,Interfund Photo Copy Services,Other Services and Charges
522785,Interfund Inventory,Other Services and Charges
522790,Interfund Inventory Adjustments,Other Services and Charges
522795,Other Interfund Services,Other Services and Charges
522800,Cost of Goods Sold,Other Services and Charges
522805,Interfund Network Services,Other Services and Charges
522810,Interfund Carpentry & Painting,Other Services and Charges
522815,Interfund Defensive Driving Service,Other Services and Charges
522820,Interfund EB Cape Training,Other Services and Charges
522825,3-1-1 Services,Other Services and Charges
522830,Interfund GIS Services,Other Services and Charges
522835,Scrapping of Inventory for Disposal,Other Services and Charges
522840,Interfund Permit Center Rent Chargeback,Other Services and Charges
522845,Interfund Vehicle Services,Other Services and Charges
522910,Indirect Cost - Expenses,Other Services and Charges
523001,Abuse Enforcement Cost,Other Services and Charges
523002,Recycling Cost,Other Services and Charges
523003,Compost Cost,Other Services and Charges
523004,Depository Cost,Other Services and Charges
523005,Administrative Billing Cost,Other Services and Charges
523006,Street Lighting Cost,Other Services and Charges
529999,Maintenance Renewal and Replacement,Other Services and Charges
531005,Bad Debt Expense,Debt Service and Other Uses
531010,Amortization Expense,Debt Service and Other Uses
531015,PIB Prin Retirement,Debt Service and Other Uses
531020,Annex Bnds Prin Retr,Debt Service and Other Uses
531025,Bond Surety Premium Expense,Debt Service and Other Uses
531030,Cert of Ob Prin Retire,Debt Service and Other Uses
531035,Promissory note Principal,Debt Service and Other Uses
531040,Other Principal Retirement,Debt Service and Other Uses
531045,Swap Interest Payments,Debt Service and Other Uses
531050,Public Improvement Bond Interest,Debt Service and Other Uses
531055,Annexed District Bonds Interest,Debt Service and Other Uses
531060,Contract Tax Obligation Interest,Debt Service and Other Uses
531065,Revenue Bonds Interest,Debt Service and Other Uses
531070,Interest Short-Term Commercial Paper,Debt Service and Other Uses
531075,Tax & Revenue Anticipation Note Interest,Debt Service and Other Uses
531080,Certificates of Obligation Interest,Debt Service and Other Uses
531085,Other Interest,Debt Service and Other Uses
531090,Arbitrage Rebate Payments,Debt Service and Other Uses
531095,Promissory Note Interest,Debt Service and Other Uses
531100,Debt Admin Prof Svcs,Debt Service and Other Uses
531105,Public Improvement Bonds - Agency Fees,Debt Service and Other Uses
531110,Commercial Paper Agent Fees,Debt Service and Other Uses
531115,Revenue Bonds Agency Fees,Debt Service and Other Uses
531120,Loss on Valuation/Investment,Debt Service and Other Uses
531125,Escrow Deposit - Bond Refunding,Debt Service and Other Uses
531130,Interest Apportionment Transfer Out,Debt Service and Other Uses
531135,Interfund Transfers,Debt Service and Other Uses
531140,Transfers for Principal,Debt Service and Other Uses
531145,Transfers for Interest,Debt Service and Other Uses
531150,Discretionary Debt,Debt Service and Other Uses
531155,Cost of Iss Exp-GO,Debt Service and Other Uses
531160,Issuance Expense Cost-Commercial Paper,Other Services and Charges
531165,Revenue Bonds Principle Retirement,Debt Service and Other Uses
531170,Rev Bonds COI,Debt Service and Other Uses
531175,Allen's Creek & Wallisville Principal,Debt Service and Other Uses
531180,Allen's Creek & Wallisville Interest,Debt Service and Other Uses
532005,Transfers to General Fund,Debt Service and Other Uses
532010,Transfers to Water & Sewer,Debt Service and Other Uses
532015,Transfers to Convention & Entertainment,Debt Service and Other Uses
532020,Transfers to Capital Projects,Debt Service and Other Uses
532025,Transfers to Special Revenues,Debt Service and Other Uses
532030,Transfers to Trans Debt Service  ,Debt Service and Other Uses
532035,Transf-Spec Nonrecr,Debt Service and Other Uses
532040,Transfers to Component Unit,Debt Service and Other Uses
532045,Transfers to Low Income Housing,Debt Service and Other Uses
532050,Trans to PIB Bonds Debt Service,Debt Service and Other Uses
532055,Transfers to Certification of Obligation,Debt Service and Other Uses
532060,Transf Claims/Judg DS,Debt Service and Other Uses
532065,General Debt Service Fund Intrafund Transf,Debt Service and Other Uses
532070,Transfer to Consolidated Fund,Debt Service and Other Uses
532075,Unappropriated Expense Transfers Out,Debt Service and Other Uses
532080,System Debt Service Transfers,Debt Service and Other Uses
532085,Renewal & Replacement Transfer,Debt Service and Other Uses
532090,System Any Lawful Purpose Transfer,Debt Service and Other Uses
532095,Transfer to Stormwater Fund ,Debt Service and Other Uses
532100,Trans to CUS Operating,Debt Service and Other Uses
532105,Transf to CUS Gen,Debt Service and Other Uses
532110,System Improvement Transfers,Debt Service and Other Uses
532115,System Operating Reserve,Debt Service and Other Uses
532120,Transfer to Fleet/Eq,Debt Service and Other Uses
532200,Transfer to Fleet/Equipment Int.Svc. fund,Debt Service and Other Uses
532222,Transfer to Public Safety,Debt Service and Other Uses
550990,AMS Fix Assts Revers,Non-Capital Equipment
551005,Fixed Assets Restatement,Non-Capital Equipment
551010,Non-Capital Office Furniture & Equipment,Non-Capital Equipment
551015,Non-Capital Computer Equipment,Non-Capital Equipment
551020,Non-Capital Communication Equipment,Non-Capital Equipment
551025,Non-Capital Scientific/Medical Equipment,Non-Capital Equipment
551030,Non-Capital Machinery & Equipment,Non-Capital Equipment
551035,Non-Capital Library books,Non-Capital Equipment
551040,Non-Capital Other,Non-Capital Equipment
551045,Non-Capital Vehicles/Rolling Stock,Non-Capital Equipment
551810,Non-Cap Controlled Equipment - Bk01,Non-Capital Equipment
560010,Land,Equipment
560110,Right of Way,Equipment
560120,Capital Exp-Building and Bldg Improvement,Equipment
560130,Building Associated with Capital Lease,Equipment
560140,Improvements other than Buildings,Equipment
560210,Furniture Fixtures and Equipment,Equipment
560220,Vehicles,Equipment
560230,Computer HW and Developed SW,Equipment
560240,Communication Equipment,Equipment
560260,Infrastructure,Equipment
560270,Rights,Equipment
560980,Construction in Progress,Equipment
560990,AMS Fixed Asset Reversal,Equipment
561010,Depr - Land,Equipment
561110,Depr - Right of Way,Equipment
561120,Depr - Building and Bldg Improvements,Equipment
561140,Depr - Improvements other than Buildings,Equipment
561210,Depr - Furniture Fixtures and Equipment,Equipment
561220,Depr - Vehicles,Equipment
561230,Depr - Computer HW and Developed SW,Equipment
561240,Depr - Communication Equipment,Equipment
561260,Depr - Infrastructure,Equipment
561270,Depr - Rights,Equipment
561980,Depr - Contruction in Progress,Equipment
571110,GASB-Depr - Right of Way,Non-Capital Equipment
571120,GASB-Depr-Bldg & Imp,Non-Capital Equipment
571140,GASB-Depr-Imprv-Oth,Non-Capital Equipment
571210,GASB-Depr-Furn Fix,Non-Capital Equipment
571220,GASB-Depr - Vehicles,Non-Capital Equipment
571230,GASB-Depr - Computer HW and Developed SW,Non-Capital Equipment
571240,GASB-Depr - Communication Equipment,Non-Capital Equipment
571260,GASB-Depr - Infrastructure,Non-Capital Equipment
571270,GASB-Depr - Rights,Non-Capital Equipment
572900,Capital Contributions Out-Book 20,Non-Capital Equipment
572999,GASB - Revenue Clearing Account,Non-Capital Equipment
581981,Capital AUC Settlement,Non-Capital Equipment
588999,Projection Adjustment,Projection Adjustments
424170,Interfind HR Client Servicess,Charges for Services
424180,Interfund KRONOS,Charges for Services
424190,Interfund Drainage Fee,Charges for Services
424200,Interfund Permit Center Rent,Charges for Services
424210,Interfund Radio Parts & Labor,Charges for Services
424215,Interfund Radio System Access,Charges for Services
426010,Hazardous Materials Response,Charges for Services
426020,Hazardous Materials Permit,Charges for Services
426030,Ambulance Fees,Charges for Services
426040,Library Service Charges,Charges for Services
426050,Animal Control Fees,Charges for Services
426055,External Radio Parts & Labor,Charges for Services
426060,Clinical Fees,Charges for Services
426070,Hotel & Motel Ordinance,Charges for Services
426080,Day Care Service,Charges for Services
426090,Demolition Fees,Charges for Services
426100,Non-Resident Garbage Fee,Charges for Services
426110,Extra Container Garbage Fee,Charges for Services
426120,Weed Cutting Fees,Charges for Services
426130,Dental Fees,Charges for Services
426140,Laboratory Fees,Charges for Services
426150,Milk Sampling Fees,Charges for Services
426151,Passport Service Fee,Charges for Services
426160,Oother Health Services Fees,Charges for Services
426170,Recreation Sports & Education Program,Charges for Services
426180,Tennis Court Fees,Charges for Services
426190,Golf Fees,Charges for Services
426200,Admission and User Fees,Charges for Services
426210,Special Events Reimbursement,Charges for Services
426220,Vehicle Storage Notification,Charges for Services
426230,Vehicle Auction Fees,Charges for Services
426240,Limousine Inspection Fees,Charges for Services
426250,Platting Fees,Charges for Services
426260,Police Services,Charges for Services
426270,Utility District Application Review,Charges for Services
426280,Legal Fees,Charges for Services
426290,Other Service Charges,Charges for Services
426300,Certified Copies Fees,Charges for Services
426310,City Charter & Code Fees,Charges for Services
426320,City Maps & Related Items,Charges for Services
426330,Miscellaneous Copies Fees,Charges for Services
426340,Public Safety Reports Fees,Charges for Services
426350,Fire Fighting Services,Charges for Services
426360,Reimbursement for 911 Staff,Charges for Services
426370,Training Services,Charges for Services
426380,Grants Contract Services,Charges for Services
426390,Misc. Services to Other Agencies,Charges for Services
426400,Vehicle Storage Unit,Charges for Services
426410,Collection Fees,Charges for Services
426420,Building Space Rental Fees,Charges for Services
426430,Facility Rental Fees,Charges for Services
426440,Park Facility Use Fees,Charges for Services
426450,Park Equipment Rental Fees,Charges for Services
426460,Municipal Services  from the TIRZ,Charges for Services
426470,WIFI Revenues,Charges for Services
426480,Securing/Boarding - Nuisance Abatement,Charges for Services
426485,Visual Blight - Nuisance Abatement,Charges for Services
426490,Alternate Method Review Fee,Charges for Services
426495,Investigation Fee,Charges for Services
426500,Drainage Charge Revenue,Charges for Services
426505,Drainage Charge Adjustment,Charges for Services
426510,Environmental Lab Services,Charges for Services
426520,External Radio System Fees,Charges for Services
426525,Chapter 125 - Nuisance Abatement,Charges for Services
441010,Signatory Landings,Charges for Services
441015,Carrier Incentive Program,Charges for Services
441020,Aviation Fuel Revenue,Charges for Services
441030,Aircraft Parking Revenue,Charges for Services
442010,Concourse Security Services,Charges for Services
442020,Flight Information Display System,Charges for Services
442030,Terminal Space Rental Fees,Charges for Services
442035,Terminal Space Nonair Rental Fees,Charges for Services
442040,Cargo Building Rental Fees,Charges for Services
442050,Hangar Rental Fees,Charges for Services
442060,Grounds Rental Fees,Charges for Services
442070,Other Rental Fees,Charges for Services
443010,Temporary park Concessions,Charges for Services
443020,Terminal Concession Agreements,Charges for Services
443030,Terminal Operation Agreement,Charges for Services
443040,Other Recreational Concessions,Charges for Services
443050,Auto Rental Concessions,Charges for Services
443060,Ground Transport Concessions,Charges for Services
443070,Hotel Concessions,Charges for Services
443080,Special Events Concessions,Charges for Services
443090,Food & Drink Concessions,Charges for Services
443100,Audio Visual Concessions,Charges for Services
443110,Utility Concessions,Charges for Services
443120,Photocopier Concessions,Charges for Services
443130,Pay Phone Concessions,Charges for Services
443140,Telephone Setup Concessions,Charges for Services
443150,Telecommunications Revenue,Charges for Services
443160,Vending Machine Concessions,Charges for Services
443170,Other Concession Income,Charges for Services
443180,Concession Penalty & Interest,Charges for Services
443190,Retail Concessions,Charges for Services
445010,Talp Operation Agreement,Charges for Services
445020,Houston Aquarium Agreement Revenue,Charges for Services
445030,Houston Arena Agreement Revenue,Charges for Services
445040,Cultural/Convention Facility Rental,Charges for Services
445050,Cell Tower Revenue,Charges for Services
447010,Metered Parking Revenue,Charges for Services
447020,Garage Parking Revenue,Charges for Services
447021,Hobby Garage Parking Revenue,Charges for Services
447022,Metro Passes Revenue,Charges for Services
447030,Surface Parking Revenue,Charges for Services
447031,Commerce Surface Lot Revenue,Charges for Services
447032,Bolsover Surface Lot Revenue  ,Charges for Services
447033,Commerce Street Annex Surfact Lot Revenue,Charges for Services
447035,Washington Ave Parking Revenue,Charges for Services
447040,Contract Parking Revenue,Charges for Services
448010,Custom Services Fees,Charges for Services
453010,Retail Water Sales,Charges for Services
453012,Con Treat Wat NonGov,Charges for Services
453013,Ret Wat Bill Adjusts,Charges for Services
453014,Area 1&2GRPFeesNnGv,Charges for Services
453015,Area3 GRP Fees Nngov,Charges for Services
453020,Bulk Water Sales - Treated,Charges for Services
453022,Con Tr Ind WatNonGov,Charges for Services
453030,Bulk Water Sales - Untreated,Charges for Services
453032,ConUntCWAHWY225NnGv,Charges for Services
453033,ConUntLkHousIndNonGv,Charges for Services
453035,ConUntSoCanIndNonGv,Charges for Services
453036,ConUntSoCanAgriNonGv,Charges for Services
453038,ConUntCWABportNonGov,Charges for Services
453039,ConUntCWANWLATNonGv,Charges for Services
453116,In City MUD Water Rebates Government,Charges for Services
453117,Water Conservation Rebate,Charges for Services
453118,Ground Water Certificate Credits,Charges for Services
453120,Con Tr Bulk Wat Gov,Charges for Services
454010,Sewer Service Revenue,Charges for Services
454012,Sewer Bill Adjusts,Charges for Services
454116,In City MUD Sewer Rebates Government,Charges for Services
455010,Sewer Service Penalties,Charges for Services
455020,Water Service Penalties,Charges for Services
455030,Drainage Charge Penalty,Charges for Services
456125,Fire Sprinkler Fees,Charges for Services
456130,Water Meter Rental Fees,Charges for Services
456135,Delinquent Reconnection Fees,Charges for Services
456140,Tap Installation Fees,Charges for Services
456145,Meter Installation Fees,Charges for Services
456150,Engineering Inspection Fees,Charges for Services
456155,Meter Testing Fees,Charges for Services
456160,Transient Meter Relocation Fee,Charges for Services
456165,New Customer Fees,Charges for Services
456170,Account Record Fees,Charges for Services
456175,Disposal Fees,Charges for Services
456176,Recycling Revenues,Charges for Services
456177,Composting Revenue,Charges for Services
456178,Waste Reduction Fees,Charges for Services
456180,Fertilizer Sales,Charges for Services
456185,Contract Revenue from Water Authority,Charges for Services
456190,Aband/Rerouting of Service Lines,Charges for Services
456195,Water Connection Violation,Charges for Services
456205,Failure to Connect Sewer,Charges for Services
456210,Missed Appointment,Charges for Services
456220,Tenant Notice,Charges for Services
456225,Failure to Apply,Charges for Services
456230,Illegal Turn On,Charges for Services
456235,Lock Device Damage/Repair,Charges for Services
456240,Submeter Application,Charges for Services
456245,Evaporation Credit Processing Fee,Charges for Services
456250,Sewage Disposal,Charges for Services
456253,Badging Fees,Charges for Services
456256,NewSrack Permit and Decal Fees,Charges for Services
456260,Oper Recov & Refunds,Charges for Services
